txn_id,created_at,merchant_id,customer_id,mcc,amount,currency,amount_usd,status,payment_method,card_brand,card_last4,country,city,risk_score,auth_code,fee_rate_percent,fixed_fee_cents,fee_total_usd,processor_cost_usd,net_revenue_usd,net_settlement_usd,settlement_batch_id
T0001524,2025-05-27 15:39:50,M00026,C004498,5999,54.88,CAD,40.06,succeeded,crypto_onramp,Visa,4198,US,SF,0.19,TESTFK,3.04,35,1.57,0.55,1.02,38.49,SB20250527-005
T0001525,2025-05-02 16:46:13,M00037,C003266,5691,43.38,JOD,61.17,succeeded,card,Mastercard,5064,GB,Bristol,0.26,A0XU9P,2.67,20,1.83,0.8,1.03,59.34,SB20250502-003
T0001526,2025-05-25 15:06:41,M00003,C000078,5732,50.0,USD,50.0,succeeded,apple_pay,Discover,7506,TR,Izmir,0.07,AHVOQ7,2.83,30,1.72,0.67,1.05,48.28,SB20250525-004
T0001527,2025-05-16 10:42:52,M00055,C005588,5411,34.59,USD,34.59,succeeded,card,Visa,9046,FR,Marseille,0.11,QO7RY9,2.41,30,1.13,0.49,0.64,33.46,SB20250516-004
T0001528,2025-05-07 08:18:54,M00035,C005694,7999,98.97,TRY,2.97,succeeded,apple_pay,Visa,3809,JO,Irbid,0.06,PXO9ED,1.83,15,0.2,0.11,0.09,2.77,SB20250507-005
T0001529,2025-05-13 07:34:26,M00063,C001971,5999,26.05,CAD,19.02,refunded,card,Amex,1547,AE,Dubai,0.14,NRC0KF,2.91,40,0.95,0.3,0.65,0.0,SB20250513-002
T0001530,2025-05-13 05:24:27,M00004,C000823,7999,30.55,SAR,8.13,succeeded,card,Mastercard,2386,NL,Utrecht,0.11,VBJ6R4,2.16,25,0.43,0.17,0.26,7.7,SB20250513-002
T0001531,2025-05-14 19:43:59,M00069,C006903,5732,177.47,GBP,232.49,succeeded,paypal,Visa,9213,TR,Ankara,0.24,A4O0MG,2.7,20,6.48,2.86,3.62,226.01,SB20250514-001
T0001532,2025-05-12 07:02:24,M00084,C005395,5691,48.58,GBP,63.64,succeeded,card,Discover,1367,US,Seattle,0.02,DBTEPF,2.74,10,1.84,0.83,1.01,61.8,SB20250512-001
T0001533,2025-05-28 10:14:00,M00058,C007125,5999,19.87,CAD,14.51,failed,paypal,Visa,3250,FR,Marseille,0.14,NFSZB9,2.54,20,0.57,0.24,0.33,0.0,SB20250528-001
T0001534,2025-05-18 01:59:43,M00108,C005826,5691,73.15,USD,73.15,succeeded,card,Mastercard,5901,GB,Bristol,0.07,1KZGTG,2.44,40,2.18,0.95,1.23,70.97,SB20250518-001
T0001535,2025-05-07 17:15:23,M00039,C000127,5734,35.45,JOD,49.98,succeeded,card,Mastercard,3689,NL,Utrecht,0.05,G6H6KZ,3.06,40,1.93,0.67,1.26,48.05,SB20250507-005
T0001536,2025-05-19 05:13:54,M00072,C002119,4812,91.3,AED,24.83,failed,card,Mastercard,5244,FR,Marseille,0.07,NQ0XYT,2.35,10,0.68,0.37,0.31,0.0,SB20250519-001
T0001537,2025-05-23 09:15:19,M00003,C007216,5732,88.18,SAR,23.46,failed,apple_pay,Amex,7068,NL,Amsterdam,0.29,FFUJS8,2.83,30,0.96,0.35,0.61,0.0,SB20250523-003
T0001538,2025-05-24 23:10:14,M00071,C000637,7999,34.67,CAD,25.31,failed,bank_transfer,Visa,8271,NL,Amsterdam,0.1,1CF6KB,2.45,25,0.87,0.37,0.5,0.0,SB20250524-003
T0001539,2025-05-02 01:08:56,M00031,C007177,7399,460.48,EUR,501.92,succeeded,card,Visa,7459,US,LA,0.15,PAWTZE,2.09,20,10.69,6.09,4.6,491.23,SB20250502-004
T0001540,2025-05-20 22:02:48,M00061,C004747,5812,50.03,TRY,1.5,succeeded,bank_transfer,Visa,8172,TR,Istanbul,0.06,6K35GJ,2.61,15,0.19,0.09,0.1,1.31,SB20250520-001
T0001541,2025-05-04 11:35:03,M00054,C004095,5734,58.39,AED,15.88,succeeded,apple_pay,Mastercard,2546,NL,Utrecht,0.17,G8D1HU,2.04,20,0.52,0.26,0.26,15.36,SB20250504-003
T0001542,2025-05-16 14:14:36,M00053,C007619,6012,517.76,SAR,137.72,succeeded,google_pay,Amex,4307,JO,Zarqa,0.25,JQYK4T,2.36,40,3.65,1.72,1.93,134.07,SB20250516-002
T0001543,2025-05-18 12:46:07,M00023,C006540,5734,58.26,TRY,1.75,succeeded,card,Visa,1595,SA,Jeddah,0.1,MA58BN,2.91,40,0.45,0.09,0.36,1.3,SB20250518-004
T0001544,2025-05-12 21:40:36,M00065,C002169,5999,55.74,EUR,60.76,succeeded,apple_pay,Mastercard,7598,US,Seattle,0.1,HQ81SB,2.87,40,2.14,0.8,1.34,58.62,SB20250512-001
T0001545,2025-05-24 13:04:07,M00023,C006257,5734,44.28,AED,12.04,succeeded,card,Amex,3711,JO,Amman,0.05,QA9BFH,2.91,40,0.75,0.21,0.54,11.29,SB20250524-002
T0001546,2025-05-21 01:27:45,M00059,C007569,5734,37.62,GBP,49.28,succeeded,bank_transfer,Mastercard,4223,NL,Amsterdam,0.11,GWKY7E,2.71,15,1.49,0.66,0.83,47.79,SB20250521-005
T0001547,2025-05-16 23:57:18,M00033,C006097,7399,243.24,SAR,64.7,succeeded,card,Mastercard,2965,FR,Marseille,0.0,OF1KYI,2.21,35,1.78,0.85,0.93,62.92,SB20250516-003
T0001548,2025-05-01 18:01:41,M00113,C004351,4812,262.44,SAR,69.81,succeeded,card,Discover,1409,AE,Dubai,0.26,4K1DEF,2.13,20,1.69,0.91,0.78,68.12,SB20250501-002
T0001549,2025-05-10 17:49:29,M00066,C003411,6012,303.62,JOD,428.1,succeeded,apple_pay,Visa,3824,CA,Toronto,0.18,UJR9U2,2.65,20,11.54,5.21,6.33,416.56,SB20250510-002
T0001550,2025-05-27 23:54:32,M00026,C000521,5999,82.56,TRY,2.48,succeeded,card,Discover,2219,JO,Amman,0.38,Z1L2SF,3.04,35,0.43,0.1,0.33,2.05,SB20250527-001
T0001551,2025-05-12 07:47:15,M00094,C005228,5812,23.63,USD,23.63,succeeded,apple_pay,Mastercard,7404,JO,Zarqa,0.28,MKHHPR,2.06,20,0.69,0.35,0.34,22.94,SB20250512-003
T0001552,2025-05-16 23:43:50,M00103,C005048,7399,173.04,AED,47.07,succeeded,card,Visa,9418,TR,Istanbul,0.21,ILM2E7,2.78,10,1.41,0.63,0.78,45.66,SB20250516-005
T0001553,2025-05-08 14:32:17,M00006,C003615,6012,1400.0,AED,380.8,succeeded,bank_transfer,Visa,9390,AE,Dubai,0.2,9P20XX,2.24,20,8.73,4.64,4.09,372.07,SB20250508-004
T0001554,2025-05-25 01:43:30,M00087,C000311,5999,99.17,GBP,129.91,succeeded,card,Visa,7390,AE,Dubai,0.22,7P2R68,2.3,10,3.09,1.63,1.46,126.82,SB20250525-001
T0001555,2025-05-10 00:31:26,M00076,C000044,5999,63.99,JOD,90.23,failed,card,Visa,7017,CA,Vancouver,0.04,FH9ITU,2.9,15,2.77,1.15,1.62,0.0,SB20250510-004
T0001556,2025-05-10 12:05:04,M00097,C003058,5732,50.0,AED,13.6,succeeded,cash_app,Visa,0021,CA,Montreal,0.07,ANVAM1,2.58,20,0.55,0.23,0.32,13.05,SB20250510-003
T0001557,2025-05-02 11:12:04,M00061,C003647,5812,40.02,AED,10.89,succeeded,card,UnionPay,9188,SA,Dammam,0.0,ZYGEWB,2.61,15,0.43,0.2,0.23,10.46,SB20250502-002
T0001558,2025-05-14 12:49:48,M00107,C003882,5734,102.85,AED,27.98,succeeded,card,Visa,5274,CA,Toronto,0.08,F5C7E3,2.09,10,0.68,0.41,0.27,27.3,SB20250514-004
T0001559,2025-05-15 10:30:08,M00003,C000216,5732,102.7,TRY,3.08,succeeded,card,Visa,4050,DE,Berlin,0.16,7O8N7W,2.83,30,0.39,0.11,0.28,2.69,SB20250515-001
T0001560,2025-05-01 22:37:21,M00054,C007531,5734,95.32,SAR,25.36,refunded,card,Amex,0496,AE,Sharjah,0.27,PH52TC,2.04,20,0.72,0.37,0.35,0.0,SB20250501-004
T0001561,2025-05-01 01:36:13,M00084,C005543,5691,106.76,CAD,77.93,succeeded,card,Mastercard,8077,CA,Vancouver,0.29,K590MC,2.74,10,2.24,1.01,1.23,75.69,SB20250501-002
T0001562,2025-05-25 08:09:58,M00050,C004991,5691,200.0,CAD,146.0,succeeded,card,Visa,4144,NL,Utrecht,0.16,31EJ3N,2.23,25,3.51,1.82,1.69,142.49,SB20250525-004
T0001563,2025-05-20 09:33:07,M00014,C002315,5732,112.29,CAD,81.97,succeeded,card,Visa,3708,JO,Amman,0.09,XGID2T,2.12,25,1.99,1.05,0.94,79.98,SB20250520-005
T0001564,2025-05-08 20:16:44,M00075,C005975,7999,72.14,GBP,94.5,succeeded,card,Mastercard,7457,TR,Izmir,0.29,3WH3VP,2.72,35,2.92,1.2,1.72,91.58,SB20250508-003
T0001565,2025-05-08 11:43:18,M00003,C003763,5732,80.89,TRY,2.43,succeeded,card,Visa,1925,AE,Dubai,0.13,Q6CIVT,2.83,30,0.37,0.1,0.27,2.06,SB20250508-004
T0001566,2025-05-12 10:45:42,M00068,C001575,5812,80.0,USD,80.0,succeeded,cash_app,Mastercard,4173,GB,Bristol,0.26,FH7A07,2.25,40,2.2,1.03,1.17,77.8,SB20250512-002
T0001567,2025-05-26 09:44:33,M00098,C004966,5999,66.61,TRY,2.0,succeeded,bank_transfer,Mastercard,5147,SA,Dammam,0.12,BTYDK9,2.22,25,0.29,0.09,0.2,1.71,SB20250526-001
T0001568,2025-05-27 07:42:49,M00045,C001406,6012,507.34,CAD,370.36,succeeded,apple_pay,Mastercard,2651,DE,Hamburg,0.16,FRPAQZ,2.49,20,9.42,4.51,4.91,360.94,SB20250527-005
T0001569,2025-05-24 15:51:08,M00055,C003158,5411,121.26,AED,32.98,succeeded,card,Visa,7039,FR,Lyon,0.25,6GVMT3,2.41,30,1.09,0.47,0.62,31.89,SB20250524-005
T0001570,2025-05-17 06:27:17,M00069,C000866,5732,117.53,EUR,128.11,succeeded,card,Mastercard,0016,CA,Vancouver,0.16,HZOXL8,2.7,20,3.66,1.61,2.05,124.45,SB20250517-003
T0001571,2025-05-20 04:55:06,M00115,C003090,5691,37.85,GBP,49.58,succeeded,card,Mastercard,6971,AE,Abu Dhabi,0.04,0SOJZ2,1.92,30,1.25,0.66,0.59,48.33,SB20250520-001
T0001572,2025-05-13 02:20:07,M00090,C002280,5691,43.8,JOD,61.76,succeeded,bank_transfer,Mastercard,5588,CA,Toronto,0.14,G2R2WW,3.0,35,2.2,0.81,1.39,59.56,SB20250513-002
T0001573,2025-05-27 10:30:40,M00061,C002441,5812,43.34,SAR,11.53,succeeded,card,Mastercard,2205,FR,Marseille,0.2,O9B0QG,2.61,15,0.45,0.21,0.24,11.08,SB20250527-005
T0001574,2025-05-27 01:37:14,M00080,C004555,5411,49.99,GBP,65.49,succeeded,card,Mastercard,7697,US,NYC,0.19,61NBC9,2.43,35,1.94,0.86,1.08,63.55,SB20250527-002
T0001575,2025-05-27 08:25:38,M00008,C005181,7999,64.52,EUR,70.33,succeeded,apple_pay,Visa,6178,SA,Jeddah,0.23,MZRPTR,2.45,35,2.07,0.91,1.16,68.26,SB20250527-004
T0001576,2025-05-08 07:07:50,M00103,C000085,7399,150.35,SAR,39.99,succeeded,card,Discover,0287,SA,Riyadh,0.15,32ROAU,2.78,10,1.21,0.55,0.66,38.78,SB20250508-001
T0001577,2025-05-13 11:27:36,M00001,C006527,7399,199.07,USD,199.07,succeeded,google_pay,Mastercard,8619,US,Seattle,0.11,ABQ3GQ,2.19,30,4.66,2.46,2.2,194.41,SB20250513-005
T0001578,2025-05-10 17:30:16,M00051,C005430,7999,21.01,SAR,5.59,succeeded,card,Visa,7815,NL,Rotterdam,0.13,QP4Q6A,2.35,35,0.48,0.14,0.34,5.11,SB20250510-005
T0001579,2025-05-08 07:21:28,M00056,C003753,5691,71.48,GBP,93.64,succeeded,bank_transfer,Visa,8970,FR,Paris,0.04,78Z99R,2.73,35,2.91,1.19,1.72,90.73,SB20250508-005
T0001580,2025-05-01 19:10:05,M00048,C004377,6012,278.58,AED,75.77,succeeded,card,Amex,0755,US,Chicago,0.12,6EH8QG,2.58,25,2.2,0.98,1.22,73.57,SB20250501-003
T0001581,2025-05-18 13:41:12,M00110,C002696,7399,310.91,TRY,9.33,succeeded,crypto_onramp,Visa,6820,NL,Rotterdam,0.17,5O2773,2.83,40,0.66,0.18,0.48,8.67,SB20250518-002
T0001582,2025-05-24 04:58:59,M00073,C006593,5812,25.83,AED,7.03,succeeded,crypto_onramp,Visa,9509,AE,Sharjah,0.18,LJ0ING,2.41,35,0.52,0.15,0.37,6.51,SB20250524-002
T0001583,2025-05-27 23:49:22,M00054,C005171,5734,26.43,AED,7.19,refunded,card,Mastercard,0672,DE,Berlin,0.21,Z991DA,2.04,20,0.35,0.16,0.19,0.0,SB20250527-005
T0001584,2025-05-05 11:35:49,M00111,C007889,5411,122.87,JOD,173.25,succeeded,card,Visa,9934,TR,Izmir,0.0,SSAASI,2.24,35,4.23,2.15,2.08,169.02,SB20250505-001
T0001585,2025-05-02 00:26:23,M00029,C006806,7399,449.32,CAD,328.0,succeeded,card,Visa,6261,US,Miami,0.13,MMK794,2.36,20,7.94,4.01,3.93,320.06,SB20250502-004
T0001586,2025-05-14 03:19:43,M00119,C003892,5691,71.1,AED,19.34,succeeded,card,Discover,2938,CA,Vancouver,0.26,7UBK1W,3.29,30,0.94,0.3,0.64,18.4,SB20250514-001
T0001587,2025-05-28 14:51:42,M00090,C003701,5691,45.16,GBP,59.16,succeeded,card,Visa,8394,US,Austin,0.13,H9FIU9,3.0,35,2.12,0.78,1.34,57.04,SB20250528-005
T0001588,2025-05-07 08:40:04,M00088,C003911,5812,36.49,EUR,39.77,succeeded,bank_transfer,mada,7542,AE,Abu Dhabi,0.0,E4YT19,2.48,40,1.39,0.55,0.84,38.38,SB20250507-003
T0001589,2025-05-13 02:08:01,M00040,C000595,5732,50.0,GBP,65.5,succeeded,card,Discover,8923,SA,Riyadh,0.06,E0V7KR,3.21,15,2.25,0.86,1.39,63.25,SB20250513-003
T0001590,2025-05-03 04:02:41,M00009,C005700,6012,328.03,EUR,357.55,succeeded,card,Mastercard,3730,TR,Istanbul,0.07,6PXX28,2.48,30,9.17,4.36,4.81,348.38,SB20250503-005
T0001591,2025-05-10 17:27:47,M00030,C006350,5812,33.16,EUR,36.14,succeeded,bank_transfer,Visa,0413,GB,Bristol,0.0,9NSIAA,2.57,10,1.03,0.5,0.53,35.11,SB20250510-003
T0001592,2025-05-26 01:05:37,M00109,C006271,5812,12.47,CAD,9.1,succeeded,paypal,Visa,6024,SA,Riyadh,0.04,X67KGF,2.36,30,0.51,0.18,0.33,8.59,SB20250526-002
T0001593,2025-05-19 00:43:36,M00009,C006566,6012,368.44,AED,100.22,succeeded,apple_pay,Discover,7922,CA,Montreal,0.05,N098PC,2.48,30,2.79,1.27,1.52,97.43,SB20250519-004
T0001594,2025-05-08 20:11:01,M00091,C007782,7399,138.38,AED,37.64,succeeded,bank_transfer,Amex,1908,AE,Sharjah,0.0,4O013O,2.37,30,1.19,0.52,0.67,36.45,SB20250508-005
T0001595,2025-05-20 23:53:39,M00013,C006316,4812,99.8,CAD,72.85,succeeded,card,Visa,7676,GB,Bristol,0.18,Y44NB5,2.2,30,1.9,0.94,0.96,70.95,SB20250520-005
T0001596,2025-05-13 17:31:46,M00091,C002069,7399,429.83,JOD,606.06,failed,bank_transfer,Visa,3015,DE,Munich,0.13,X89NQW,2.37,30,14.66,7.34,7.32,0.0,SB20250513-005
T0001597,2025-05-04 18:23:34,M00045,C004985,6012,764.67,JOD,1078.18,succeeded,card,Visa,8689,US,SF,0.25,8TJOEG,2.49,20,27.05,13.01,14.04,1051.13,SB20250504-002
T0001598,2025-05-14 19:03:09,M00094,C006531,5812,23.63,GBP,30.96,reversed,card,Mastercard,3423,AE,Dubai,0.24,TIY412,2.06,20,0.84,0.44,0.4,0.0,SB20250514-002
T0001599,2025-05-13 11:58:56,M00021,C000715,5691,86.49,SAR,23.01,succeeded,cash_app,Visa,6558,US,Chicago,0.13,3WW31F,2.64,30,0.91,0.35,0.56,22.1,SB20250513-004
T0001600,2025-05-04 06:10:34,M00092,C003317,5732,50.0,CAD,36.5,succeeded,card,Visa,6629,TR,Izmir,0.12,H4AHBN,2.58,35,1.29,0.51,0.78,35.21,SB20250504-001
T0001601,2025-05-01 23:02:09,M00068,C006737,5812,35.14,GBP,46.03,succeeded,cash_app,Mastercard,2051,FR,Marseille,0.08,HR9FAO,2.25,40,1.44,0.62,0.82,44.59,SB20250501-002
T0001602,2025-05-16 05:08:02,M00004,C002486,7999,45.46,JOD,64.1,succeeded,paypal,Visa,6064,DE,Hamburg,0.06,QER6LJ,2.16,25,1.63,0.84,0.79,62.47,SB20250516-004
T0001603,2025-05-16 18:19:24,M00021,C003091,5691,53.3,TRY,1.6,succeeded,bank_transfer,Mastercard,7087,CA,Toronto,0.19,Y2N7U3,2.64,30,0.34,0.09,0.25,1.26,SB20250516-001
T0001604,2025-05-04 23:58:28,M00076,C003475,5999,38.22,GBP,50.07,succeeded,crypto_onramp,Discover,5949,CA,Toronto,0.12,SKSL02,2.9,15,1.6,0.67,0.93,48.47,SB20250504-003
T0001605,2025-05-18 11:35:04,M00095,C007059,6012,292.26,TRY,8.77,succeeded,card,Discover,8151,JO,Amman,0.08,104NFK,2.35,20,0.41,0.18,0.23,8.36,SB20250518-005
T0001606,2025-05-14 20:17:29,M00068,C001388,5812,22.35,AED,6.08,succeeded,card,Visa,9571,SA,Dammam,0.0,FEF559,2.25,40,0.54,0.14,0.4,5.54,SB20250514-003
T0001607,2025-05-11 02:10:00,M00026,C007606,5999,63.87,USD,63.87,succeeded,card,Visa,0771,TR,Izmir,0.04,356EQ4,3.04,35,2.29,0.84,1.45,61.58,SB20250511-004
T0001608,2025-05-16 08:55:27,M00087,C005512,5999,201.2,SAR,53.52,succeeded,apple_pay,Visa,6518,TR,Izmir,0.13,41MYXJ,2.3,10,1.33,0.71,0.62,52.19,SB20250516-002
T0001609,2025-05-24 15:29:50,M00018,C002546,4812,167.38,SAR,44.52,succeeded,card,Amex,7747,GB,Bristol,0.1,Q6MCSY,2.67,30,1.49,0.6,0.89,43.03,SB20250524-004
T0001610,2025-05-23 23:24:24,M00090,C004405,5691,189.81,TRY,5.69,succeeded,paypal,Mastercard,6110,FR,Lyon,0.0,BCUKRD,3.0,35,0.52,0.14,0.38,5.17,SB20250523-004
T0001611,2025-05-24 15:25:13,M00118,C000935,5999,52.71,AED,14.34,succeeded,paypal,Visa,7589,GB,Manchester,0.24,NXDPWC,3.38,30,0.78,0.24,0.54,13.56,SB20250524-002
T0001612,2025-05-02 14:14:40,M00036,C004380,6012,322.43,AED,87.7,succeeded,card,Visa,7955,GB,Bristol,0.11,6S41GZ,2.74,40,2.8,1.12,1.68,84.9,SB20250502-002
T0001613,2025-05-23 01:59:16,M00038,C004636,5734,201.51,TRY,6.05,succeeded,card,Visa,6486,TR,Ankara,0.19,TZ8UOO,2.41,25,0.4,0.14,0.26,5.65,SB20250523-005
T0001614,2025-05-16 22:59:14,M00108,C003538,5691,74.5,USD,74.5,failed,crypto_onramp,Mastercard,9277,CA,Montreal,0.18,CGR9IV,2.44,40,2.22,0.96,1.26,0.0,SB20250516-001
T0001615,2025-05-10 09:58:21,M00106,C000306,5732,121.68,TRY,3.65,succeeded,card,Visa,9660,US,NYC,0.18,D883U5,2.52,35,0.44,0.11,0.33,3.21,SB20250510-004
T0001616,2025-05-06 22:22:36,M00046,C002099,7999,42.72,TRY,1.28,succeeded,card,Visa,1092,NL,Amsterdam,0.07,MVRW99,2.42,35,0.38,0.09,0.29,0.9,SB20250506-004
T0001617,2025-05-04 19:55:21,M00004,C003716,7999,22.71,TRY,0.68,succeeded,paypal,Visa,2055,AE,Dubai,0.04,PNPH2W,2.16,25,0.26,0.08,0.18,0.42,SB20250504-003
T0001618,2025-05-17 23:04:13,M00020,C003863,5411,48.4,TRY,1.45,succeeded,card,Discover,2467,CA,Toronto,0.13,261S70,2.53,20,0.24,0.09,0.15,1.21,SB20250517-002
T0001619,2025-05-16 05:46:34,M00028,C001074,7999,66.27,USD,66.27,succeeded,google_pay,Discover,6358,NL,Amsterdam,0.0,2LALVX,3.07,20,2.23,0.87,1.36,64.04,SB20250516-003
T0001620,2025-05-22 07:54:22,M00016,C006104,7399,269.46,EUR,293.71,succeeded,apple_pay,Visa,9988,NL,Utrecht,0.18,6SQ7YR,2.43,35,7.49,3.59,3.9,286.22,SB20250522-005
T0001621,2025-05-25 04:15:36,M00113,C006986,4812,165.39,JOD,233.2,succeeded,apple_pay,UnionPay,2652,GB,London,0.13,3RXTM6,2.13,20,5.17,2.87,2.3,228.03,SB20250525-005
T0001622,2025-05-04 04:48:28,M00057,C004703,5999,46.81,GBP,61.32,succeeded,bank_transfer,UnionPay,7320,SA,Dammam,0.17,0IUOTA,2.85,10,1.85,0.81,1.04,59.47,SB20250504-001
T0001623,2025-05-28 06:24:39,M00114,C007031,7999,34.59,AED,9.41,succeeded,card,Visa,9073,CA,Vancouver,0.29,HCB7HQ,2.65,35,0.6,0.18,0.42,8.81,SB20250528-002
T0001624,2025-05-22 23:06:02,M00085,C003067,5691,83.51,SAR,22.21,succeeded,card,Mastercard,8338,CA,Vancouver,0.29,T7P3SG,2.55,40,0.97,0.34,0.63,21.24,SB20250522-005
T0001625,2025-05-16 01:01:15,M00017,C003529,5999,102.84,SAR,27.36,succeeded,card,Discover,2536,NL,Utrecht,0.26,XR4WYQ,2.57,20,0.9,0.4,0.5,26.46,SB20250516-004
T0001626,2025-05-09 03:48:50,M00014,C000340,5732,95.44,USD,95.44,succeeded,card,Mastercard,8098,FR,Lyon,0.17,RFLJQ9,2.12,25,2.27,1.22,1.05,93.17,SB20250509-002
T0001627,2025-05-12 15:06:22,M00092,C006162,5732,119.19,EUR,129.92,succeeded,google_pay,Visa,2508,SA,Riyadh,0.0,62XWII,2.58,35,3.7,1.63,2.07,126.22,SB20250512-005
T0001628,2025-05-15 18:08:24,M00117,C007158,5411,53.19,JOD,75.0,succeeded,card,Mastercard,0281,SA,Dammam,0.17,VA1NDV,3.06,10,2.4,0.97,1.43,72.6,SB20250515-005
T0001629,2025-05-18 13:42:58,M00021,C007588,5691,78.44,USD,78.44,succeeded,card,Discover,1175,NL,Utrecht,0.13,5T4ODG,2.64,30,2.37,1.01,1.36,76.07,SB20250518-002
T0001630,2025-05-13 10:50:06,M00073,C004986,5812,14.45,TRY,0.43,succeeded,card,Mastercard,4058,SA,Dammam,0.03,0QN1JF,2.41,35,0.36,0.08,0.28,0.07,SB20250513-001
T0001631,2025-05-05 09:50:45,M00101,C002702,5812,19.21,CAD,14.02,succeeded,bank_transfer,Discover,3121,US,Miami,0.06,6RB575,2.94,10,0.51,0.24,0.27,13.51,SB20250505-003
T0001632,2025-05-26 00:49:39,M00118,C004316,5999,51.14,GBP,66.99,succeeded,google_pay,Discover,4075,TR,Ankara,0.24,R466WV,3.38,30,2.56,0.87,1.69,64.43,SB20250526-005
T0001633,2025-05-19 01:58:22,M00097,C000969,5732,148.9,AED,40.5,succeeded,bank_transfer,Visa,2233,CA,Toronto,0.0,T7QB7N,2.58,20,1.24,0.56,0.68,39.26,SB20250519-002
T0001634,2025-05-28 14:01:13,M00030,C007565,5812,80.0,TRY,2.4,succeeded,card,Mastercard,2222,DE,Munich,0.24,DSPCXB,2.57,10,0.16,0.1,0.06,2.24,SB20250528-004
T0001635,2025-05-09 15:34:03,M00046,C002243,7999,56.18,TRY,1.69,succeeded,google_pay,Visa,0760,GB,Bristol,0.25,GN6SPH,2.42,35,0.39,0.09,0.3,1.3,SB20250509-005
T0001636,2025-05-02 12:49:21,M00015,C001400,5812,14.11,USD,14.11,succeeded,card,Discover,7172,AE,Sharjah,0.22,B9CNU4,2.38,20,0.54,0.24,0.3,13.57,SB20250502-002
T0001637,2025-05-12 21:36:35,M00066,C007160,6012,242.47,SAR,64.5,succeeded,card,Mastercard,0487,SA,Jeddah,0.08,1AD20T,2.65,20,1.91,0.84,1.07,62.59,SB20250512-002
T0001638,2025-05-25 12:06:45,M00037,C003907,5691,115.87,CAD,84.59,succeeded,bank_transfer,Mastercard,7530,US,Austin,0.23,E0574N,2.67,20,2.46,1.09,1.37,82.13,SB20250525-004
T0001639,2025-05-20 18:29:55,M00076,C003896,5999,84.32,JOD,118.89,succeeded,card,Visa,6802,NL,Amsterdam,0.07,978DOQ,2.9,15,3.6,1.5,2.1,115.29,SB20250520-003
T0001640,2025-05-23 03:35:27,M00036,C006052,6012,539.99,EUR,588.59,succeeded,cash_app,Visa,7466,AE,Dubai,0.0,AT6I1N,2.74,40,16.53,7.13,9.4,572.06,SB20250523-001
T0001641,2025-05-14 06:59:36,M00069,C003829,5732,94.28,EUR,102.77,succeeded,card,Mastercard,5207,JO,Irbid,0.09,DXS75W,2.7,20,2.97,1.3,1.67,99.8,SB20250514-004
T0001642,2025-05-03 15:39:14,M00014,C000257,5732,116.7,TRY,3.5,succeeded,card,Mastercard,4678,TR,Ankara,0.0,TXQVQQ,2.12,25,0.32,0.11,0.21,3.18,SB20250503-004
T0001643,2025-05-04 16:11:34,M00104,C007805,5734,220.0,USD,220.0,succeeded,apple_pay,Amex,2504,CA,Vancouver,0.01,GYP240,3.08,35,7.13,2.71,4.42,212.87,SB20250504-004
T0001644,2025-05-07 07:38:17,M00013,C003257,4812,93.99,TRY,2.82,succeeded,card,mada,2267,GB,London,0.02,ZILWOS,2.2,30,0.36,0.1,0.26,2.46,SB20250507-003
T0001645,2025-05-24 02:43:57,M00077,C002253,4812,78.57,SAR,20.9,succeeded,card,Mastercard,6434,AE,Sharjah,0.18,AF7XAK,2.6,35,0.89,0.32,0.57,20.01,SB20250524-005
T0001646,2025-05-10 18:33:07,M00107,C003618,5734,95.52,JOD,134.68,failed,card,Amex,3665,US,NYC,0.09,R8CMQ9,2.09,10,2.91,1.69,1.22,0.0,SB20250510-003
T0001647,2025-05-13 01:00:03,M00009,C002500,6012,393.99,TRY,11.82,succeeded,card,Mastercard,0709,DE,Munich,0.24,OVGPAY,2.48,30,0.59,0.21,0.38,11.23,SB20250513-003
T0001648,2025-05-10 08:06:34,M00116,C006433,5999,68.92,TRY,2.07,succeeded,crypto_onramp,Visa,7865,DE,Hamburg,0.06,67AJKG,2.86,30,0.36,0.09,0.27,1.71,SB20250510-005
T0001649,2025-05-26 13:37:01,M00100,C005827,5812,18.92,GBP,24.79,succeeded,cash_app,Amex,7187,GB,London,0.1,MW34V6,2.43,40,1.0,0.37,0.63,23.79,SB20250526-004
T0001650,2025-05-25 21:17:54,M00046,C002913,7999,16.17,JOD,22.8,succeeded,card,Visa,9904,CA,Toronto,0.01,U08WSV,2.42,35,0.9,0.34,0.56,21.9,SB20250525-004
T0001651,2025-05-02 10:31:35,M00098,C006668,5999,91.14,SAR,24.24,succeeded,card,Mastercard,3937,FR,Lyon,0.06,06N713,2.22,25,0.79,0.36,0.43,23.45,SB20250502-003
T0001652,2025-05-15 00:48:34,M00074,C001648,5732,113.25,TRY,3.4,succeeded,card,Visa,3705,US,SF,0.04,OCYK0H,2.85,10,0.2,0.11,0.09,3.2,SB20250515-001
T0001653,2025-05-01 01:27:48,M00105,C002903,4812,386.05,GBP,505.73,succeeded,card,Amex,5603,TR,Izmir,0.26,I2ZA6N,2.32,10,11.83,6.14,5.69,493.9,SB20250501-001
T0001654,2025-05-14 09:21:20,M00078,C006115,7399,773.49,JOD,1090.62,succeeded,bank_transfer,Visa,8779,SA,Riyadh,0.06,LEYCCU,2.58,30,28.44,13.16,15.28,1062.18,SB20250514-004
